id,host_id,host_neighbourhood,host_listings_count,host_total_listings_count,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews_ltm,review_scores_rating,instant_bookable,reviews_per_month
958,1169,Duboce Triangle,1,1,Western Addition,Entire serviced apartment,Entire home/apt,3,,1 bath,1,2,$172.00 ,2,30,42,4.87,f,2.08
5858,8904,Bernal Heights,2,2,Bernal Heights,Entire rental unit,Entire home/apt,5,,1 bath,2,3,$235.00 ,30,60,0,4.88,f,0.72
7918,21994,Cole Valley,10,10,Haight Ashbury,Private room in rental unit,Private room,2,,4 shared baths,1,1,$56.00 ,32,60,0,4.2,f,0.13
8142,21994,Cole Valley,10,10,Haight Ashbury,Private room in rental unit,Private room,2,,4 shared baths,1,1,$56.00 ,32,90,0,4.63,f,0.09
8339,24215,Alamo Square,2,2,Western Addition,Entire condominium (condo),Entire home/apt,4,,1.5 baths,2,2,$895.00 ,7,111,0,4.87,f,0.19
8739,7149,Mission District,2,2,Mission,Private room in condominium (condo),Private room,3,,1 private bath,1,1,$169.00 ,13,14,1,4.91,f,4.86
10251,35199,Mission District,1,1,Mission,Entire residential home,Entire home/apt,4,,1 bath,2,3,$150.00 ,30,60,4,4.79,f,2.27
10578,37049,Nob Hill,0,0,Nob Hill,Entire rental unit,Entire home/apt,2,,1 bath,,1,$120.00 ,30,180,0,4.93,f,0.15
10820,38836,Lower Haight,27,27,Haight Ashbury,Entire rental unit,Entire home/apt,3,,1 bath,3,3,$170.00 ,30,1125,1,4.41,f,0.26
10824,38836,Lower Haight,27,27,Western Addition,Entire rental unit,Entire home/apt,5,,2 baths,3,3,$166.00 ,30,365,0,4.57,f,0.13
10832,38836,Lower Haight,27,27,Downtown/Civic Center,Entire rental unit,Entire home/apt,2,,1.5 baths,1,1,$116.00 ,30,365,0,4.6,f,0.18
12041,21994,Cole Valley,10,10,Haight Ashbury,Private room in rental unit,Private room,2,,3 shared baths,1,2,$65.00 ,32,60,0,4,f,0.05
12042,21994,Cole Valley,10,10,Haight Ashbury,Private room in rental unit,Private room,2,,3 shared baths,1,2,$65.00 ,32,90,0,3.2,f,0.05
12522,18431,The Castro,1,1,Castro/Upper Market,Private room in rental unit,Private room,1,,1 shared bath,1,1,$79.00 ,3,27,0,4.92,t,2.93
18231,70224,Noe Valley,1,1,Noe Valley,Entire rental unit,Entire home/apt,3,,1 bath,,2,$87.00 ,30,365,3,4.83,f,0.47
18904,72464,Lower Haight,2,2,Western Addition,Private room in residential home,Private room,2,,1 private bath,1,1,$110.00 ,3,31,0,4.87,f,3.37
21334,81455,Nob Hill,1,1,Nob Hill,Entire loft,Entire home/apt,2,,1 bath,1,1,$130.00 ,30,30,3,4.87,t,0.86
23630,93257,The Castro,1,1,Castro/Upper Market,Entire residential home,Entire home/apt,2,,1 bath,1,1,$155.00 ,3,14,0,4.88,f,2.93
24463,99128,Potrero Hill,2,2,Potrero Hill,Private room in rental unit,Private room,2,,1 private bath,1,1,$158.00 ,2,28,5,4.89,f,2.22
24723,100800,Western Addition/NOPA,3,3,Pacific Heights,Entire guest suite,Entire home/apt,4,,1 bath,1,1,$189.00 ,4,31,29,4.82,t,2.52
25094,103339,Glen Park,1,1,Glen Park,Private room in residential home,Private room,2,,1 private bath,1,1,$165.00 ,5,45,8,4.96,f,0.74
27025,115673,The Castro,1,1,Castro/Upper Market,Entire rental unit,Entire home/apt,2,,1 bath,1,1,$119.00 ,30,1125,0,4.98,f,0.94
27028,7149,Mission District,2,2,Mission,Private room in condominium (condo),Private room,4,,1 private bath,1,2,$189.00 ,1,29,0,4.77,f,0.33
29373,126263,Bernal Heights,3,3,Bernal Heights,Entire residential home,Entire home/apt,4,,2 baths,2,2,$164.00 ,4,70,0,4.88,f,0.13
29557,126036,Richmond District,1,1,Outer Richmond,Entire rental unit,Entire home/apt,4,,1 bath,1,2,$175.00 ,2,30,19,4.97,f,0.63
32414,140251,Bernal Heights,1,1,Bernal Heights,Entire rental unit,Entire home/apt,2,,1 bath,1,2,$150.00 ,30,30,0,4.81,f,0.67
33578,145258,Potrero Hill,2,2,Potrero Hill,Entire residential home,Entire home/apt,2,,1 bath,1,1,$270.00 ,1,14,43,4.95,f,4.66
39174,127367,Noe Valley,28,28,Mission,Entire guest suite,Entire home/apt,2,,1 bath,1,1,$107.00 ,30,1125,1,4.7,f,0.17
39418,169184,Bernal Heights,2,2,Bernal Heights,Entire rental unit,Entire home/apt,2,,1 bath,,1,$215.00 ,30,30,0,4.9,f,0.17
40092,172182,Mission District,5,5,Mission,Entire rental unit,Entire home/apt,2,,1 bath,1,1,$107.00 ,30,400,4,4.63,f,0.73
41055,178043,The Castro,3,3,Castro/Upper Market,Entire residential home,Entire home/apt,3,,1 bath,1,1,$140.00 ,3,29,6,4.74,f,0.45
41172,53314,Bernal Heights,1,1,Bernal Heights,Private room in residential home,Private room,2,,1 private bath,1,1,$125.00 ,3,30,16,4.91,f,2.02
41423,180715,Glen Park,1,1,Glen Park,Entire residential home,Entire home/apt,3,,1 bath,,1,$125.00 ,30,90,3,4.47,t,1.11
41609,54299,Nob Hill,1,1,Downtown/Civic Center,Entire condominium (condo),Entire home/apt,3,,1 bath,1,2,$149.00 ,30,730,5,4.96,f,0.17
42577,127367,Noe Valley,28,28,Potrero Hill,Entire guest suite,Entire home/apt,3,,1 bath,2,2,$150.00 ,30,1125,0,4,f,0.02
43732,127367,Noe Valley,28,28,Twin Peaks,Entire rental unit,Entire home/apt,2,,1 bath,1,2,$120.00 ,30,1125,0,4.4,f,0.04
44032,98733,Mission District,1,1,Mission,Entire rental unit,Entire home/apt,2,,1 bath,1,1,$95.00 ,30,121,5,4.84,f,2.13
44680,196626,Mission District,2,2,Mission,Entire rental unit,Entire home/apt,4,,1 bath,1,2,$150.00 ,60,60,0,5,f,0.02
45299,178043,The Castro,3,3,Castro/Upper Market,Entire guest suite,Entire home/apt,2,,1 bath,,2,$90.00 ,3,30,2,4.7,f,1.11
47682,216682,Pacific Heights,9,9,Pacific Heights,Entire rental unit,Entire home/apt,2,,1 bath,1,1,$119.00 ,30,365,2,4.83,f,0.22
51557,237200,Duboce Triangle,1,1,Western Addition,Entire rental unit,Entire home/apt,2,,1 bath,1,1,$125.00 ,31,180,0,4.88,t,0.79
